Row,KOI_ID,Label,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
0,10797460.0,1.0,5455.0,4.467,0.14,0.927,0.919
1,10797460.0,1.0,5455.0,4.467,0.14,0.927,0.919
2,10811496.0,0.0,5853.0,4.544,-0.18,0.868,0.961
3,10854555.0,1.0,5805.0,4.564,-0.52,0.7909999999999999,0.836
4,10872983.0,1.0,6031.0,4.438,0.07,1.046,1.095
5,10872983.0,1.0,6046.0,4.4860000000000015,-0.08,0.972,1.053
6,10872983.0,1.0,6046.0,4.4860000000000015,-0.08,0.972,1.053
7,6721123.0,0.0,6046.0,4.4860000000000015,-0.08,0.972,1.053
8,10910878.0,1.0,6227.0,3.986,0.0,1.9580000000000002,1.358
9,11446443.0,1.0,5031.0,4.485,0.16,0.848,0.8009999999999999
10,10666592.0,1.0,5820.0,4.457,-0.06,0.9640000000000001,0.971
11,6922244.0,1.0,6440.0,4.019,0.14,1.952,1.449
12,10984090.0,1.0,6225.0,4.169,-0.04,1.4509999999999998,1.1320000000000001
13,10419211.0,0.0,5833.0,4.407,-0.04,1.022,0.9740000000000001
14,10464078.0,0.0,5795.0,4.5539999999999985,-0.2,0.848,0.938
15,10480982.0,0.0,5043.0,4.591,-0.54,0.68,0.657
16,10485250.0,0.0,6117.0,4.496,-0.22,0.9470000000000001,1.025
17,10526549.0,1.0,5152.0,4.517,-0.2,0.7859999999999999,0.741
18,10583066.0,1.0,4856.0,4.583,-0.3,0.696,0.6759999999999999
19,10583180.0,0.0,4537.0,4.648,0.21,0.672,0.7609999999999999
20,10601284.0,1.0,4989.0,4.504,0.1,0.8190000000000001,0.7809999999999999
21,10601284.0,1.0,5185.0,4.44,0.16,0.91,0.831
22,10601284.0,1.0,5185.0,4.44,0.16,0.91,0.831
23,10662202.0,1.0,5185.0,4.44,0.16,0.91,0.831
24,10682541.0,1.0,5543.0,4.081,0.44,1.58,1.103
25,11460018.0,1.0,4954.0,4.5,0.18,0.828,0.7909999999999999
26,11463211.0,0.0,5339.0,4.552,0.18,0.847,0.9309999999999999
27,11493732.0,0.0,5644.0,4.564,-0.14,0.831,0.9279999999999999
28,11507101.0,1.0,5714.0,4.563,-0.2,0.831,0.9259999999999999
29,10910878.0,1.0,5520.0,4.466,0.48,0.983,1.03
30,10910878.0,1.0,6144.0,4.402,0.0,1.091,1.093
31,10987985.0,1.0,5481.0,4.369,0.16,1.036,0.915
32,11018648.0,1.0,5031.0,4.485,0.16,0.848,0.8009999999999999
33,11018648.0,1.0,5031.0,4.485,0.16,0.848,0.8009999999999999
34,11138155.0,0.0,5015.0,4.499,0.1,0.826,0.785
35,11152159.0,0.0,5586.0,4.56,-0.3,0.7979999999999999,0.8440000000000001
36,11153539.0,1.0,5586.0,4.56,-0.3,0.7979999999999999,0.8440000000000001
37,11242721.0,0.0,5712.0,4.359,0.1,1.082,0.976
38,9579641.0,1.0,5550.0,4.468,-0.04,0.91,0.889
39,11304958.0,1.0,6075.0,4.4860000000000015,-0.12,0.9690000000000001,1.048
40,11391957.0,1.0,6074.0,4.391,-0.12,1.063,1.014
41,11403044.0,1.0,5779.0,4.339,-0.06,1.087,0.941
42,11414511.0,1.0,5468.0,4.367,0.22,1.046,0.93
43,11442465.0,0.0,5592.0,4.582,-0.28,0.787,0.862
44,12110942.0,1.0,6174.0,4.417,0.1,1.103,1.162
45,12366084.0,1.0,5532.0,4.452,0.14,0.955,0.941
46,12366084.0,1.0,5040.0,4.628,-0.24,0.705,0.782
47,12404086.0,1.0,5880.0,4.518,-0.06,0.917,1.01
48,8395660.0,1.0,5714.0,4.428,0.16,1.015,1.0070000000000001
49,9579641.0,1.0,5714.0,4.428,0.16,1.015,1.0070000000000001
50,11656840.0,0.0,5129.0,4.595,0.02,0.763,0.846
51,11754553.0,1.0,5854.0,4.4060000000000015,-0.12,1.012,0.951
52,11754553.0,1.0,5779.0,4.339,-0.06,1.087,0.941
53,11754553.0,1.0,6108.0,4.4689999999999985,-0.3,0.956,0.981
54,11812062.0,1.0,4126.0,4.6610000000000005,0.04,0.615,0.633
55,11818800.0,0.0,4126.0,4.6610000000000005,0.04,0.615,0.633
56,11853255.0,1.0,4126.0,4.6610000000000005,0.04,0.615,0.633
57,11909839.0,0.0,5497.0,4.577,-0.1,0.809,0.907
58,11918099.0,1.0,5446.0,4.507,-0.54,0.7809999999999999,0.7140000000000001
59,11918099.0,0.0,4149.0,4.698,-0.32,0.564,0.578
60,9579641.0,0.0,5746.0,4.393,-0.54,0.924,0.77
61,11923270.0,1.0,5005.0,4.595,0.14,0.765,0.85
62,11960862.0,1.0,5005.0,4.595,0.14,0.765,0.85
63,12020329.0,1.0,5779.0,4.339,-0.06,1.087,0.941
64,12066335.0,1.0,3688.0,4.79,0.0,0.473,0.503
65,12066335.0,1.0,5992.0,4.415,-0.32,0.9890000000000001,0.927
66,12070811.0,1.0,5485.0,4.556,0.21,0.867,0.986
67,8395660.0,1.0,4077.0,4.702,-0.24,0.56,0.5760000000000001
68,3120431.0,0.0,4077.0,4.702,-0.24,0.56,0.5760000000000001
69,3246984.0,0.0,5557.0,4.603,-0.4,0.75,0.8320000000000001
70,3342970.0,1.0,5854.0,4.4060000000000015,-0.12,1.012,0.951
71,3342970.0,1.0,5295.0,4.551,-0.02,0.8109999999999999,0.853
72,12459725.0,0.0,5735.0,4.41,-0.18,0.973,0.889
73,12470844.0,1.0,6214.0,4.442,0.07,1.0759999999999998,1.169
74,12470844.0,1.0,6214.0,4.442,0.07,1.0759999999999998,1.169
75,12644822.0,1.0,5799.0,4.539,-0.1,0.878,0.975
76,2440757.0,0.0,5354.0,4.587,-0.08,0.7879999999999999,0.884
77,2445129.0,0.0,5354.0,4.587,-0.08,0.7879999999999999,0.884
78,2713049.0,1.0,5795.0,4.508,-0.02,0.919,0.992
79,3114167.0,1.0,6017.0,4.22,0.02,1.339,1.083
80,3114661.0,0.0,5927.0,4.409,0.07,1.06,1.05
81,3115833.0,0.0,5519.0,4.35,0.14,1.062,0.9209999999999999
82,4139816.0,1.0,5653.0,4.6560000000000015,-0.84,0.679,0.767
83,4139816.0,1.0,5255.0,4.678,-0.72,0.636,0.7090000000000001
84,8395660.0,1.0,5988.0,4.541,-0.52,0.836,0.885
85,4139816.0,1.0,3950.0,4.754,-0.46,0.493,0.502
86,4275191.0,1.0,3950.0,4.754,-0.46,0.493,0.502
87,4476123.0,1.0,5854.0,4.4060000000000015,-0.12,1.012,0.951
88,3351888.0,1.0,3950.0,4.754,-0.46,0.493,0.502
89,3453214.0,0.0,5557.0,4.592,-0.3,0.774,0.866
90,3554600.0,0.0,5395.0,4.615,-0.34,0.7340000000000001,0.821
91,3641726.0,0.0,5539.0,4.322,0.16,1.1059999999999999,0.935
